25.852348395621913, 3.256654894631944e-23
49.40262207658596, 1.2405495925627755e-23
89.12509381337455, 1.2247388046632222e-23
100, 3.0078825180431574e-23
147.4857292764125, 1.2735827669120922e-23
185.67353246307056, 1.472552041605041e-23
199.52623149688787, 1.1447104623504737e-23
354.8133892335753, 5.6093565156435555e-24
494.02622076585936, 7.906093688934021e-24
760.7640819262695, 7.449836459645764e-24
971.6279515771058, 5.2199103410647286e-24
1995.2623149688789, 6.939119199568505e-24
2985.382618917957, 5.0940736230064304e-24
9716.279515771057, 3.865701010780548e-24
