10, 1.4575933009693208e-23
20.362145171363487, 3.981071705535018e-24
32.71190846913666, 3.229169999943943e-24
36.20958350245917, 3.3672295752114775e-24
40.08124254378506, 3.229169999943943e-24
52.55187735318168, 2.511886431509613e-24
100, 4.1512780027523544e-24
210.634454232412, 8.458098281751519e-24
233.1562484720027, 1.1338235012178682e-23
316.2277660168373, 1.0873356727196801e-23
428.8969335171292, 7.459801523488093e-24
508.0218046913023, 9.589990607460186e-24
762.6985859023451, 1.042753888853788e-23
1000, 8.111308307897022e-24
1106.923600517605, 8.111308307897022e-24
2036.2145171363447, 1.3978306065792446e-23
5436.183620153815, 1.3978306065792446e-23
11069.236005176073, 4.5138326597690675e-23
